歌名	演唱者	作詞	作曲	
沒出息	王世堅	王世堅	unknown	取消收藏
特別的人	方大同	方大同	方大同	取消收藏
Golden	KPop Demon Hunters	unknown	unknown	取消收藏
聖誕結	陳奕迅	何啓弘	李峻一	取消收藏
Die With A Smile	Lady Gaga	unknown	unknown	取消收藏
倒數	陳綺貞	陳綺貞	陳綺貞	取消收藏
浪費	林宥嘉	陳信延	鄭楠	取消收藏
Last Christmas	Taylor Swift (泰勒絲)	George Michael	George Michael	取消收藏
挪威的森林	伍佰	伍佰	伍佰	取消收藏
等你下課	周杰倫	周杰倫	周杰倫	取消收藏
我會等	承桓	路夕月	成禮	取消收藏
蘑菇濃湯	PlayBigKids	Lydia Wangwang	Lydia Wangwang	取消收藏
APT.	ROSÉ(BLACKPINK)	unknown	unknown	取消收藏
最好的結局	八三夭	阿璞@八三夭	阿璞@八三夭	取消收藏
盛夏光年	五月天	阿信	阿信	取消收藏
擁抱你	劉思涵	戴佩妮	戴佩妮	取消收藏
交換餘生	林俊傑	易家揚	林俊傑	取消收藏
1234567	陳綺貞	陳綺貞	陳綺貞	取消收藏
小酒窩	林俊傑	王雅君	林俊傑	取消收藏
世界這麼大還是遇見你	湯倩	汪琨	緬甸音樂	取消收藏
最難的是相遇	吳青峰	李格弟	吳青峰	取消收藏
多想在平庸的生活擁抱你	隔壁老樊	隔壁老樊	隔壁老樊	取消收藏
Every Word	法蘭黛樂團	Fran	Fran	取消收藏
獨家記憶	陳小春	易家揚	陶昌廷	取消收藏
親愛的對象	蔡依林	陳學聖、葛大為	蔡依林、劉家凱	取消收藏
我變了	陶晶瑩	陶晶瑩	呂文飛	取消收藏
當你和心跳一起出現	蕭亞軒	曹宇棠	陳偉	取消收藏
正想著你呢	持修	持修	持修	取消收藏
Kiss goodbye	王力宏	王力宏	王力宏	取消收藏
那你呢	宇宙人	小玉 林忠諭	小玉 林忠諭	取消收藏
可不可以	張紫豪	劉偉鋒	劉偉鋒	取消收藏
最好的時光	安溥 (anpu)	安溥 (anpu)	安溥 (anpu)	取消收藏
當我望著你	鹿洐人	謝博安	謝博安	取消收藏
屬於	梁靜茹	陳沒	鴉片丹	取消收藏
某某	八三夭	柳廣輝、八三夭阿璞、黃奇斌	黃奇斌	取消收藏
陌生人	Soler	張丹	Dino Acconci	取消收藏
就說你想說的	告五人	告五人雲安	告五人雲安	取消收藏
早安晨之美	盧廣仲	盧廣仲	盧廣仲	取消收藏
我可以	蔡旻佑	林唯/蔡旻佑	蔡旻佑	取消收藏
我期待的不是雪	張妙格	王琛	祝子由	取消收藏
起風了	吳青峰	米果	高橋優	取消收藏
楓	周杰倫	宋健彰(彈頭)	周杰倫	取消收藏
再見	張震嶽	張震嶽	張震嶽	取消收藏
孤勇者(英雄聯盟：雙城之戰)	陳奕迅	唐恬	錢雷	取消收藏
一笑江湖(科目三)	聞人聽書	祝何	祝何	取消收藏
明天會更好	群星	羅大佑/張大春	羅大佑	取消收藏
綠色	陳雪凝	陳雪凝	陳雪凝	取消收藏
熱愛105°C的你	阿肆	阿肆	阿肆	取消收藏
